,mu [Debye],alpha [Bohr^3],homo [Hartree],lumo [Hartree],gap [Hartree],r2 [Bohr^2],zpve [Hartree],U0 [Hartree],U [Hartree],H [Hartree],G [Hartree],Cv [cal/(mol K)]
FG_36,0.18511201031487728,-0.07695873925588105,0.25649421441467707,-0.03190488718528761,-0.17065329947101274,-0.002223679625927702,-0.14055382261194183,-0.18076057351102215,-0.18076189548612367,-0.18076189521456404,-0.18075738080565662,0.028064833441320467
FG_37,0.10289108733457618,-0.0774128382536797,-0.03500874174567951,-0.19586042835789022,-0.17209165067773138,-0.021889532436256392,-0.1671342453727957,-0.17073125565481342,-0.17073546452143748,-0.17073546492407016,-0.17072649701998963,-0.09079916560619934
FG_38,0.3201744403735933,-0.06705164941764058,-0.44101513275984616,-0.1937215606788779,0.050826148356049865,0.05243580086463895,-0.20212921700518433,0.041543122552946544,0.04154489882105277,0.04154489407512865,0.04154011592229589,-0.02124852779212426
Frag_0,-0.031711074809448,0.16754101260387425,-0.03235707298794916,-0.03596631428554098,-0.017507206488244123,0.285784088306671,-0.0016141598002675018,0.06577112442020504,0.06577767888639366,0.06577767904793942,0.06575592579146806,0.107938260260099
Frag_1,-0.21450483266488227,0.3071364406508319,-0.0773532819356603,0.3619745999156414,0.39532262696134723,0.07997013307367572,0.5100653913366433,0.2531436476753536,0.2531504149500594,0.253150416882996,0.2531351461994266,0.21278239897284276
Frag_2,0.12172521109929808,-0.044076399258359475,-0.08121211122228056,-0.34059732914147645,-0.2882331079894605,0.07626556414567105,-0.0394955407723707,-0.10016508301231404,-0.10016510854269967,-0.10016510659641824,-0.10016742511982699,-0.00481135637408132
Frag_3,-0.11565604470594545,0.08245774419129163,-0.09826446186543976,0.22182109556652901,0.26993311083139665,0.1394103532182288,0.27196728834290523,-0.13359472104398945,-0.1335893455506662,-0.13358934585961144,-0.1335984310247895,0.27433286308181987
Frag_4,-0.062878622124139,-0.10435179431980621,-0.1139553061696991,0.17924658500783075,0.23689332319817327,-0.1384214402510236,0.05245573014497721,-0.0345425068620046,-0.03454709783292973,-0.03454709848280057,-0.034535709885324645,-0.10035932665590999
Frag_5,0.0026515934042739557,-0.0665923399701103,-0.03871359885380993,-0.23445933848323133,-0.2077586060291137,0.030454978561286268,-0.08978916810138203,-0.09806322237890025,-0.09806369778022746,-0.09806369709794029,-0.09806358595338485,-0.016822792028302194
Frag_6,-0.10584300783818835,0.1134007613279218,-0.06317861626083014,0.0527316456440039,0.08581826610061388,0.060848161827949034,0.024957390721418168,0.13829029151023586,0.13829457185559232,0.1382945740982542,0.13828481085348004,0.09520930415196642
Frag_7,0.19030350816966124,0.008309921925528546,-0.25485171239862087,-0.018861891028710304,0.12020112751027953,0.035991537024081074,-0.024607577888074512,0.0792428144942273,0.07924483977172668,0.07924483868096364,0.07923956534760544,0.013074707653740287
Frag_8,0.06221917108551492,0.00559014780135915,0.14533952809942988,0.04624464161238063,-0.03392537088843206,-0.04940102711307971,0.047123004788600736,0.04126786971865135,0.04126699472024542,0.04126699595482384,0.04126887935300344,-0.034367791224507484
Frag_9,0.16229270738577992,-0.0393265290817501,-0.02814848110614015,-0.06818440375197421,-0.05123339324755913,0.04273261855839939,-0.03140283560743929,-0.11179008671815144,-0.11179029806159234,-0.11179029637399292,-0.11179108131440624,0.0012537148845213912
Frag_10,0.02835883785261817,-0.06589951825475274,-0.08029953616114024,-0.16050657418493713,-0.11295238400883573,0.04439942434587446,-0.030937814972786037,-0.1622832264260925,-0.16228283513556924,-0.16228283793352424,-0.16228347865559542,0.053223979285673045
Frag_11,-0.03256805386676211,-0.023910484568855587,-0.02474175697050366,0.07489711691826538,0.08655942142567116,0.022531523861906416,0.06781115236839186,-0.13289710734170818,-0.13289576436520625,-0.13289576859578037,-0.13289634519495652,0.11727865687833827
Frag_12,-0.10692754063088049,0.0670420006407185,0.03719382471070793,-0.06335343285298521,-0.08206554053904457,0.053525344372109644,0.0033598271025535122,-0.10589803858067229,-0.10589827353091197,-0.10589827181374578,-0.10589739813274321,0.046072677566575584
Frag_13,0.032339122071198954,0.030932599878204375,0.4260057016570599,-0.10799712905723634,-0.3371237610808473,-0.10797897714381177,-0.21177167941879466,-0.04002865379386574,-0.04003678361546199,-0.04003678201431337,-0.040019194607750816,-0.2250804646760159
Frag_14,0.09227161215889458,-0.087177294053045,0.40346018072888995,-0.15958920566242538,-0.37520311978709525,-0.18245505504101558,-0.32548882433371623,-0.07279955396152454,-0.07281027969832796,-0.07281027747423942,-0.07278634729166146,-0.3113835616436279
Frag_15,0.013043168301774946,-0.09696187623369473,0.22596792105999555,-0.13130080685765483,-0.25105899598007575,-0.09093468742927013,-0.24252403792996594,-0.14370638016127227,-0.14371411005098653,-0.14371410827091538,-0.14369664158282225,-0.19818909727370002
Frag_16,0.0028532025080758596,-0.011401854069375428,-0.008819094396033907,-0.0651175313542535,-0.05874992522403505,0.015136577270301042,-0.01958951104680881,-0.0329983873509761,-0.03299813537958351,-0.03299813368018217,-0.03299881234574941,0.014412421933779907
Frag_17,0.0666405934411188,0.02016691327586824,-0.05544989395871801,0.010098149003666942,0.04001386167750905,0.022369025120163692,0.010316107153139598,0.01082579941416991,0.010827367026956618,0.010827367642394913,0.010824205327902514,0.04614185070307546
Frag_18,-0.033648238446654065,0.02967378749154773,-0.03605364857771565,0.0061000794665621,0.02558005572103492,0.027835586037959714,-0.008103926418977546,-0.0029480935007316416,-0.0029463332941670065,-0.0029463327035065133,-0.0029496480901522416,0.06372472715105089
Frag_19,0.05736523285517616,-0.01769447487418041,-0.11620379004494417,-0.027346700304669687,0.03651880626151511,0.019695031472541733,-0.030203068318101583,-0.03499006159417456,-0.03498926461618986,-0.03498926357764284,-0.03499060666162505,0.03182219241677097
Frag_20,0.00696739877805761,0.0397043249356631,0.0010052330974356569,-0.06227326350207033,-0.06132434423057054,0.06653225149711998,0.05484504259580189,-0.006601947265899743,-0.006599446083832512,-0.006599445610680809,-0.006606523366475913,0.06521184858986381
Frag_21,0.05505036492747666,0.0013590911974771245,0.0012553774943988758,0.015794936405233797,0.014729133275947137,0.0504878647605327,0.02648951724104561,-0.04067850969522427,-0.04067686799855157,-0.04067686827504541,-0.040681671596071285,0.05598599453303871
Frag_22,0.04746293159955606,-0.006801931492069082,0.006090007335039659,0.034594694007707275,0.03043543949504204,0.035808693861304766,0.01641879364545223,-0.034075778921298844,-0.034074995667663255,-0.03407499511017867,-0.03407691886634246,0.03387884355225316
Frag_23,-0.012568907038538779,-0.020081509011351893,-0.008357189257886087,0.006240509939091596,0.010635831050666568,-0.009720376051602916,-0.004243649870616311,0.015486823542358107,0.015486859394528499,0.015486855295238277,0.01548678750749804,-0.01020304481258514
Frag_24,-0.07500334773247998,0.08672611443961503,-0.01870272678542878,0.13197783104181351,0.13897397747483048,0.12711857354685138,0.1659152951390016,-0.018794996533891682,-0.018790356343454877,-0.018790358471254726,-0.01880089336406167,0.1370492616659451
Frag_25,0.012586668025359083,-0.02564637909720232,-0.07537953017768992,-0.04245916155533226,-0.0004152559436983264,-0.031182561331861963,-0.03322584383288622,-0.05147502801791109,-0.05147730810167304,-0.05147730792765296,-0.051472031146499383,-0.046041295684913025
Frag_26,0.026837521623280004,-0.04942860241032104,-0.11450395293905384,-0.055370969728777156,0.008249119109439497,-0.0018874657280721324,-0.06017603645820985,-0.09845219753360786,-0.09845434886536625,-0.09845435071664108,-0.09844991005782305,-0.04253995033207416
Frag_27,0.131924059097659,-0.12165171481353933,-0.18407223503973036,-0.09613547799418037,0.006300575004128468,0.009764380201092744,-0.09876830362087435,-0.1759430245303489,-0.1759461309814944,-0.17594613198640158,-0.17593948664286285,-0.060006831015283896
Frag_28,0.0023792621417710203,-0.0038778911560806424,-0.02652336039153779,-0.06431942099772635,-0.04833815817961047,0.011202978475262826,-0.04625141644838395,0.004535186329145112,0.004536125628218378,0.00453612578021662,0.00453329320173032,0.013192602983812151
Frag_29,0.06226798912873001,-0.03925551934641428,-0.0887630683648898,-0.08773842740684837,-0.03734910832226934,0.006559756790368164,-0.06239000215845484,-0.017584062728274334,-0.017583901298459163,-0.01758390135512129,-0.01758523366470511,-0.014234944394859521
Frag_30,0.05749515351906134,-0.01517121400495548,-0.011312943252220369,-0.11089698780255344,-0.1020719523841028,0.017817921314973936,-0.061641782961665,-0.07541991034567792,-0.07542086077645486,-0.07542085902707023,-0.07541922594153812,-0.01920445447143575
Frag_31,-0.021746105054453426,0.09246114841864454,-0.012536487571731604,-0.0675023808291605,-0.05904593631229658,0.08583384647870076,-0.06381465487283124,0.04848997701348241,0.048491230480904604,0.04849123017179213,0.0484881578431598,0.011389481958417899
Frag_32,0.09278138399648074,0.043499927964318855,-0.09982809220011742,-0.10565931739566979,-0.04881337069819856,0.08545658398178416,-0.08344833949152441,0.02482129253856052,0.024821808735499457,0.024821803667539617,0.02482003428466303,-0.016512668959845628
Frag_33,0.1119387351041489,-0.007176547627253741,-0.05922281038578887,-0.02416810559184048,0.008643494262713842,0.007545876554938613,-0.022416085380783476,0.04428016694008226,0.04428100981387793,0.04428100889341742,0.044278818662165605,-0.0037132447376913976
Frag_34,-0.04315722654944093,0.02511716816556755,-0.02224340179554434,0.03399935851222783,0.04526575880641275,0.00887296395385824,0.012602512656884408,0.01789334082744071,0.017895074947114675,0.017895075670475973,0.017892000955777084,0.058024045950037136
Frag_35,0.07484576409930031,-0.01916762619658458,-0.09762926495381795,0.00449463469362723,0.05748607439903695,-0.0013168160863501679,-0.01144987240313784,-0.011952594826486635,-0.011951801011532426,-0.011951802706829868,-0.011952968861669116,0.026063184496354558
Frag_36,0.025021093714981586,-0.0115356633954673,-0.00665207774368221,-0.04346971965697283,-0.038799690186419135,0.03617371368937241,0.010481657555040356,-0.04421174896555384,-0.04421064775854749,-0.04421064744716786,-0.044213661108701625,0.028893000836210728
Frag_37,-0.029513550895173553,0.010168240026551822,-0.008107297796975626,0.07166338081138915,0.07433959324033093,0.02737820025470135,0.06866489208089813,-0.04419254194885865,-0.044190744166192085,-0.04419074384054172,-0.04419396425905689,0.07245712536903663
Frag_38,-0.01646453725919223,0.02067410295528587,-0.004301671481983227,-0.006700552655447431,-0.004199024030967633,0.0008027056771882118,-0.02723288702216356,0.04961919207599084,0.04962022273361104,0.04962022350143373,0.04961786720064295,0.01323345447126478
Frag_39,-0.026505889700468296,0.0009144578255617802,-0.057748298718657144,-0.011550027978263292,0.02014645931350547,0.014476626227678058,-0.040824486636575244,0.018525048800864852,0.01852585085420425,0.01852585148845393,0.018523691817346852,0.01005842461090467
Frag_40,0.07769369210398265,-0.053935708269558146,-0.14836665091797252,-0.0531999095993192,0.02878189237671279,-0.0010172915467707739,-0.07001565356131371,-0.015517944323822344,-0.015518308318110291,-0.015518309920783159,-0.015518171987406619,-0.029911898925897726
Frag_41,-0.04840374536408728,0.011465393114869145,-0.018995042710784227,0.06371724160965712,0.07250841311209248,-0.005762872720860488,0.04206695493427385,0.07364474587707301,0.07364536882081556,0.07364536801070191,0.07364360933622843,-0.005173660059285085
Frag_42,-0.07301237282480302,0.07789401570209932,0.08978722088431786,-0.06864891735005482,-0.1158476007107384,-0.10257287266230791,0.04944167925268105,0.10920467189681776,0.1092021846714206,0.10920218080162189,0.10920869378724117,-0.06504218243137283
Frag_43,-0.030411762177191264,-0.036014041915030215,-0.01353722197166481,-0.013964287806254066,-0.006271506136586132,-0.05633981208537984,-0.013796914575958864,0.01372934344426203,0.013727605707152068,0.013727607617494935,0.013731667760855366,-0.058188673881135175
Frag_44,0.0371412944770909,-0.25404159541217197,-0.004730105796535757,-0.11670923748580901,-0.11131789081891447,-0.21695162922937575,-0.239569619755436,0.07291116547167838,0.07290457117548364,0.07290457058699472,0.07291904046362846,-0.27104920939198
Frag_45,0.0332898253171213,-0.22518527237376992,-0.09569627848965667,-0.1459056499463097,-0.09032572360794335,-0.16250968863517287,-0.22032670444956,0.011072328734437042,0.011066513908788808,0.011066514437586484,0.0110794486929988,-0.21887425752030315
Frag_46,-0.030259633193383366,0.014811491859640575,0.005254950878108522,-0.02969189514909128,-0.03184843376240729,0.010549996698388686,-0.016176557783706528,-0.002135840945368225,-0.002135391731876767,-0.0021353905951100784,-0.0021364997494130113,0.012132915202806628
Frag_47,-0.020093039672442876,0.005547413415174852,0.008129687825519797,-0.017758130241165827,-0.0217671573130113,0.011690733390024572,0.004105299559624869,-0.055499240294504794,-0.05549899550520412,-0.055498994726058404,-0.05549909199373768,0.03175983941983944
Frag_48,0.07595117959614366,-0.04199882465989763,0.08150459347685772,-0.1054127304555284,-0.1472180298743465,-0.06838498217929649,-0.12482387352763114,-0.07007136213911948,-0.07007545048194919,-0.07007545226475093,-0.07006607283187122,-0.09897500732617723
Frag_49,0.053554440543027125,-0.04395975207074285,0.09542700253492457,-0.08641736452393625,-0.13624331774683132,-0.057300605758202804,-0.12111699977151708,-0.08813407199090924,-0.0881380139918586,-0.0881380143240284,-0.08812866909283235,-0.08599285501870711
Frag_50,0.17436581500445503,-0.09243100705224312,0.07153759008934374,-0.11371712104451517,-0.14988517382444425,-0.07813510676574624,-0.1647992668914446,-0.12100735470923289,-0.1210126432208837,-0.12101264182564103,-0.12100015211446963,-0.12187117544574895
Frag_51,0.1268897373952165,-0.11058382167869527,0.011316184294007796,-0.10277223464003432,-0.10643996698858893,-0.06747405963269645,-0.1606549166384997,-0.133018001473123,-0.13302300880416937,-0.13302301078318365,-0.13301103975516193,-0.11302317200452057
Frag_52,-0.019797457172627035,0.07927268568165959,0.34588142721449633,-0.012220082214881,-0.20006997966437917,-0.04808328710198606,-0.07696089581251503,-0.0043867115413344345,-0.004389817987607112,-0.004389816614926125,-0.004383395009384605,-0.09107099142091711
Frag_53,0.03069226639791371,0.006932702402653654,0.37916333817928305,0.011959428854147525,-0.1945692650563473,-0.05854559010162934,-0.10193763696487534,-0.050615560165974245,-0.05061843986028775,-0.05061843822441877,-0.05061017690014774,-0.04663365581103278
Frag_54,0.041386795135978205,-0.056374984280759495,0.27698323241612294,-0.0017247652856667486,-0.15235357862804552,-0.07623804915885841,-0.13152868364854448,-0.06444572767617515,-0.06444938524639213,-0.06444938560449193,-0.06443952773755385,-0.0768258163918378
Frag_55,0.03294088993842737,-0.052094182483663334,0.2009383852529097,0.00911285465810939,-0.10040219430280492,-0.04106035587969512,-0.1035226746329988,-0.08813213223935475,-0.08813489835025085,-0.08813489766260205,-0.08812724060233353,-0.04504532519430484
Frag_56,-0.027766192538939624,-0.04544470665544302,0.30237701846140447,0.0045293555031021,-0.16004628259847675,-0.05764977054311091,-0.13332527225602153,-0.11286787300508058,-0.112871756961629,-0.112871754366594,-0.11286160309135568,-0.0644829399860366
Frag_57,-0.03358306136238648,-0.1069651807688409,0.2607866496534588,0.004756359877043358,-0.13719764314959734,-0.07943930857085332,-0.16944577728289759,-0.13171069714663639,-0.131715761789215,-0.13171576145088754,-0.13170280147117014,-0.09981839741872889
Frag_58,0.04482824589250621,0.02001633576102879,0.22362410555973378,0.04602287935823983,-0.07672654800235856,-0.0583578142240488,-0.03644985351820831,0.011690574888705526,0.011688861184975648,0.011688860563558027,0.011692120549320208,-0.06349789882768782
Frag_59,-0.04957499246648295,0.07900017722534808,-0.03659091419672304,0.05131629486142697,0.06999060749323235,0.033290827702746884,0.10972520491375275,0.03224273012507037,0.032245272862080676,0.03224527339519558,0.03224012897195556,0.08726235958152191
Frag_60,0.02416770940588452,0.027249319882143852,-0.01923658558153796,-0.049861889926073294,-0.03822375469802178,0.06806546283606521,-0.016528051491907846,0.004874609290823762,0.004875660302103378,0.004875658078353244,0.004872047006627524,0.012642948030590713
Frag_61,0.02485900518255993,0.011309973769662734,-0.015660312031876605,-0.03132995761432863,-0.022039210475962186,0.06264826031899752,-0.02743182589487345,-0.00774479923850655,-0.007743863827960192,-0.007743862387531374,-0.007747498608446361,0.012275698095566306
Frag_62,-0.009545923453224239,-0.004755864666512489,-0.004453824382692823,-0.02834229436080562,-0.02523609761210974,0.0020798253607351683,0.0006853709240267001,-0.009615161757358916,-0.009614677393490853,-0.00961467642308981,-0.009615994221900853,0.011284169346197248
Frag_63,-0.009691630182404406,-0.020480359914360806,-0.017049748758441178,-0.008499692246640243,0.000979368630737895,-0.011865703882357614,-0.013179325029948704,0.004266882010663125,0.004266801090991605,0.0042668016688000915,0.004266861987825571,-0.01115909701564334
Frag_64,0.0021290870938969163,-0.01156816278748827,0.0047766537179272745,-0.02002591750189388,-0.022133490453983135,0.0067082289672844835,-0.014577940746367176,-0.02263848325304374,-0.0226386593485544,-0.022638658322391366,-0.022638177690843826,0.0021081551088596526
Frag_65,0.004001336454869707,-0.014525048332746265,-0.002725003170802608,-0.01983033183627803,-0.017878052816578276,0.0018880395549401919,-0.006318164285104396,-0.018187147677040112,-0.018186962182599315,-0.018186963940138995,-0.018187508181315364,0.0074738539246455
Frag_66,0.032559020603179376,-0.01451341049245909,-0.003619787067560985,-0.009124080870797982,-0.006927417005297031,0.00020206854534995637,-0.009988784105516683,-0.016649892192570508,-0.016649940681562704,-0.016649942156057952,-0.016649721787857365,0.0027275743985770195
Frag_67,0.04369626893148657,-0.025099390158849072,-0.01166521050700126,-0.01747459053718901,-0.010707932145193801,0.00812221250365112,-0.018939733054753063,-0.033987079318228725,-0.033987249377555824,-0.03398724837180782,-0.03398690159993608,0.0012606076622690271
Frag_68,0.003780297307254133,-0.025552549397153356,-0.014029675783435341,-0.003903442602032997,0.003822024132283661,-0.012869388051936456,-0.017402153432502964,-0.0006796067838687459,-0.0006798414133916225,-0.0006798408444816381,-0.0006793763292766477,-0.012703821144801505
Frag_69,0.003885806508443725,0.004201213269934978,0.0006545269025861095,-0.023132479283554587,-0.02291935345758351,0.011335500656414258,0.02231244700550475,-0.015819758645669244,-0.0158189447626839,-0.015818945180221308,-0.01582063486445944,0.03141545109688623
Frag_70,0.022238998566459348,0.023676110063715856,0.005251128498590811,0.012417024112210562,0.009276442514369572,0.04631301151613203,0.033351407916503484,-0.011593535440546669,-0.011592130968209277,-0.011592129375353371,-0.011596787029214418,0.03739245305749897
Frag_71,0.15125419267121334,-0.003937086532150465,0.015562461223083716,-0.0016869398052938073,-0.010108137546197405,0.041637545560518505,0.024257861442483583,-0.06182057939027227,-0.061820539814890524,-0.06182054347070873,-0.06182090366375181,0.020729658080111336
Frag_72,0.10152534600545128,-0.009579024383097599,0.0008746383171036391,0.0015142553985153801,0.0010144083718536259,0.030660335566313653,0.012465047133233608,-0.044593872892703654,-0.04459383668515761,-0.04459383750317021,-0.04459405349521085,0.014663575830836554
Frag_73,0.01867478097101669,-0.009475850351757218,0.0025818000404509477,0.006762180669493739,0.005205982581558979,0.0066433637260104655,0.011744224998970994,-0.028440813347188967,-0.028440286524762742,-0.02844028696500466,-0.028441301252794194,0.028052842393325523
Frag_74,0.1763063726344458,0.0006040067455102629,0.045229185473451394,-0.007984089825275757,-0.03238229328856027,0.008923859655605238,0.015808307074837435,-0.02728572768785884,-0.027285579562276712,-0.027285581843881683,-0.027285631020578256,0.017921298501155095
Frag_75,-0.04654759685832138,0.06440173821121772,-0.0021837632252802806,0.07894108037559017,0.07822507507122133,0.09042202743326974,0.10421805428412041,0.004534647883466385,0.00453729340296475,0.004537294337329729,0.004530794980746358,0.07732855968017685
Frag_76,0.06242055872449859,-0.016072634556373526,-0.003706419023705948,0.00560084104568876,0.007477102266072975,0.01249319128416717,0.010591516413178483,-0.04278935377993832,-0.0427892045004951,-0.042789204432716645,-0.04278950174326139,0.022088223649217597
Frag_77,0.0009961689175665635,-0.00011096170103203267,-0.00809124834867956,-0.030738325082589876,-0.02560083805611325,0.0067275588852841,0.01595714985910912,-0.026757531255128492,-0.026756728796248457,-0.026756730554481203,-0.026758392920988132,0.034020678163569136
Frag_78,0.027362504837097953,-0.01628052440030472,-0.004216756026245118,0.0033022497173562215,0.005506198479736848,0.002244358821643581,0.004364458355208125,-0.04076139737583842,-0.04076101672314476,-0.0407610151827618,-0.04076157826681438,0.0295579054237305
Frag_79,0.01918048377751264,0.010960217324297425,0.003571527132125251,-0.0025803107566180947,-0.00445146626831312,0.0063784422240241384,0.01886623525470462,-0.0032987483477273745,-0.003297820279178978,-0.0032978200516461985,-0.0033002414746527904,0.02066975097487424
Frag_80,-0.010339616904169983,-0.015840477552118978,-0.010674259607996945,-0.05748215631856917,-0.05028961515559169,0.00147530984632731,-0.03471123737294537,-0.013717948962056204,-0.013717951299427012,-0.01371795339377894,-0.013718179489962727,-0.004935539834282553
Frag_81,0.006299193137560335,-0.028711050673881962,-0.03165443952968259,-0.06601489617783421,-0.04720459125058886,-0.0020692750980082554,-0.039798334121373846,-0.017704234081621247,-0.01770448919052692,-0.017704488416006164,-0.017704135187940832,-0.013665646073747385
Frag_82,-0.02746946775815877,0.010409317548555104,-0.014218281106211744,-0.0002969822960584773,0.007450499432453612,-0.011377612184433183,-0.019466234754864732,0.039597511760717775,0.03959825705687833,0.03959825840347797,0.03959678870110704,0.010889820006181126
Frag_83,0.024326770658959967,-0.004427132664260724,-0.04056895371970653,-0.014269519090954362,0.008135678748534197,-0.012700989379499874,-0.027598904747501568,0.028049844764177875,0.028050277624089414,0.02805027700840097,0.028049431295574596,0.000272504353293944
Frag_84,0.03137890266835587,-0.020324696049599404,-0.08759908685865253,-0.02663960360368807,0.021645548351863046,-0.017205253800934964,-0.03445125116526276,0.017646331943638783,0.017646451748672794,0.017646449110438396,0.017646309211768314,-0.010411055405448661
